,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,3,[-2.92204261  2.67653179 -9.91285896],[2.18450689 5.79251099 2.18450737],"[[ 884.  252.]
 [1009.  252.]
 [1009.  590.]
 [ 884.  590.]]","[[ -2.935634     5.6149764   -8.3596735 ]
 [ -4.480559     5.612798    -9.904107  ]
 [ -2.9361234    5.6115108  -11.449032  ]
 [ -1.391199     5.6136885   -9.904597  ]
 [ -2.933963    -0.17753053  -8.353175  ]
 [ -4.4788876   -0.1797086   -9.897609  ]
 [ -2.9344528   -0.18099652 -11.442533  ]
 [ -1.3895282   -0.17881845  -9.898099  ]]",10.334558811341417,"40189F70
0.708365 0.021244 0.705527 0.002778
0.038376 0.996909 -0.068549 2.834200
-0.704802 0.075633 0.705360 0.000274
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,6,[-8.43221664  2.83689165 -5.80051661],[2.07729006 5.81932497 2.07729149],"[[496. 244.]
 [604. 244.]
 [604. 551.]
 [496. 551.]]","[[-8.41905     5.7875233  -4.3461766 ]
 [-9.88815     5.785452   -5.814809  ]
 [-8.419517    5.7842274  -7.283908  ]
 [-6.950417    5.7862988  -5.8152747 ]
 [-8.417372   -0.03179775 -4.339648  ]
 [-9.886472   -0.03386905 -5.8082805 ]
 [-8.417838   -0.03509361 -7.277379  ]
 [-6.948738   -0.0330227  -5.808746  ]]",10.234660249634532,"40189F70
0.708365 0.021244 0.705527 0.002778
0.038376 0.996909 -0.068549 2.834200
-0.704802 0.075633 0.705360 0.000274
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,5,[-6.84939957  2.81425858 -9.7981739 ],[2.00693393 5.83232355 2.00693393],"[[701. 274.]
 [791. 274.]
 [791. 536.]
 [701. 536.]]","[[ -6.8482127    5.77109     -8.378371  ]
 [ -8.267554     5.769089    -9.797261  ]
 [ -6.8486633    5.767906   -11.216602  ]
 [ -5.4293213    5.769907    -9.797712  ]
 [ -6.8465304   -0.0612295   -8.371828  ]
 [ -8.265872    -0.0632308   -9.790718  ]
 [ -6.84698     -0.06441389 -11.210059  ]
 [ -5.4276395   -0.0624126   -9.79117   ]]",11.954851997614481,"40189F70
0.708365 0.021244 0.705527 0.002778
0.038376 0.996909 -0.068549 2.834200
-0.704802 0.075633 0.705360 0.000274
0.000000 0.000000 0.000000 1.000000
"
