,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,8,[-3.30601764  2.76791883 -6.57026672],[1.92779088 6.08019686 1.9277904 ],"[[747. 172.]
 [894. 172.]
 [894. 633.]
 [747. 633.]]","[[-3.3026638   5.8167787  -5.2078366 ]
 [-4.665872    5.8157334  -6.5709352 ]
 [-3.3027716   5.815331   -7.934143  ]
 [-1.9395633   5.8163757  -6.571044  ]
 [-3.301232   -0.26341656 -5.204608  ]
 [-4.6644397  -0.2644614  -6.567707  ]
 [-3.301339   -0.26486385 -7.930915  ]
 [-1.9381315  -0.263819   -6.567816  ]]",7.355144963731394,"5105EE0
0.707388 0.033044 0.706053 -0.000000
0.008338 0.998447 -0.055082 2.833335
-0.706776 0.044851 0.706013 0.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,11,[-7.29025984  2.8992126  -3.48721933],[1.73634768 6.27119017 1.7363466 ],"[[401. 170.]
 [527. 170.]
 [527. 607.]
 [401. 607.]]","[[-7.2981677   6.0429792  -2.2656324 ]
 [-8.525999    6.042038   -3.4933655 ]
 [-7.298264    6.041675   -4.721197  ]
 [-6.0704327   6.042616   -3.4934638 ]
 [-7.296691   -0.22820954 -2.2623029 ]
 [-8.524523   -0.22915055 -3.4900358 ]
 [-7.2967873  -0.2295135  -4.7178674 ]
 [-6.0689554  -0.22857249 -3.4901342 ]]",8.081372852928451,"5105EE0
0.707388 0.033044 0.706053 -0.000000
0.008338 0.998447 -0.055082 2.833335
-0.706776 0.044851 0.706013 0.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,9,[-1.61539233  2.92509651 -9.4390564 ],[1.99664295 6.33433628 1.99664187],"[[ 957.  177.]
 [1095.  177.]
 [1095.  609.]
 [ 957.  609.]]","[[ -1.6041574    6.1016746   -8.046737  ]
 [ -3.0160527    6.100592    -9.458519  ]
 [ -1.6042687    6.1001754  -10.870414  ]
 [ -0.19237284   6.101257    -9.4586315 ]
 [ -1.6026653   -0.23266053  -8.043373  ]
 [ -3.014561    -0.23374312  -9.455156  ]
 [ -1.6027764   -0.23416042 -10.867051  ]
 [ -0.19088078  -0.23307823  -9.455268  ]]",9.576287277809719,"5105EE0
0.707388 0.033044 0.706053 -0.000000
0.008338 0.998447 -0.055082 2.833335
-0.706776 0.044851 0.706013 0.000000
0.000000 0.000000 0.000000 1.000000
"
3,Person,Person,10,[-9.37992764  2.76141119 -6.17943192],[1.7954706  5.93491554 1.79547012],"[[501. 256.]
 [589. 256.]
 [589. 540.]
 [501. 540.]]","[[ -9.382607     5.737042    -4.9115515 ]
 [-10.652247     5.7360697   -6.1810894 ]
 [ -9.382708     5.7356944   -7.4507284 ]
 [ -8.113068     5.7366676   -6.1811905 ]
 [ -9.381209    -0.19787258  -4.9084    ]
 [-10.650848    -0.19884565  -6.1779385 ]
 [ -9.3813095   -0.1992211   -7.4475775 ]
 [ -8.1116705   -0.19824804  -6.178039  ]]",11.232471733197265,"5105EE0
0.707388 0.033044 0.706053 -0.000000
0.008338 0.998447 -0.055082 2.833335
-0.706776 0.044851 0.706013 0.000000
0.000000 0.000000 0.000000 1.000000
"
4,Person,Person,12,[-6.93250751  2.85158062 -8.89524174],[1.73440087 5.79760075 1.73440075],"[[669. 257.]
 [749. 257.]
 [749. 532.]
 [669. 532.]]","[[ -6.9250207    5.758665    -7.6660233 ]
 [ -8.151476     5.757725    -8.892381  ]
 [ -6.9251175    5.7573624  -10.118835  ]
 [ -5.6986623    5.758302    -8.892478  ]
 [ -6.923656    -0.03893505  -7.6629453 ]
 [ -8.15011     -0.03987528  -8.889302  ]
 [ -6.923752    -0.04023705 -10.115757  ]
 [ -5.697297    -0.03929722  -8.8894    ]]",11.27763211011343,"5105EE0
0.707388 0.033044 0.706053 -0.000000
0.008338 0.998447 -0.055082 2.833335
-0.706776 0.044851 0.706013 0.000000
0.000000 0.000000 0.000000 1.000000
"
