,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,7,[-2.14997387  2.81664467 -7.51045895],[1.95189834 5.94445515 1.95189822],"[[558. 197.]
 [682. 197.]
 [682. 579.]
 [558. 579.]]","[[-2.156185    5.792335   -6.1340938 ]
 [-3.5364306   5.791772   -7.514249  ]
 [-2.156274    5.791202   -8.894495  ]
 [-0.7760287   5.791765   -7.5143385 ]
 [-2.1562006  -0.15211955 -6.1316533 ]
 [-3.5364456  -0.15268256 -7.511808  ]
 [-2.1562893  -0.15325278 -8.892055  ]
 [-0.77604395 -0.15268959 -7.511899  ]]",7.812130389448928,"35AAA5C0
0.707165 0.027417 0.706517 4.000000
0.002551 0.999142 -0.041327 2.833333
-0.707044 0.031027 0.706488 -1.999998
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,6,[  0.24693112   2.89733624 -10.29940128],[1.67294478 6.17538881 1.67294502],"[[795. 190.]
 [895. 190.]
 [895. 577.]
 [795. 577.]]","[[  0.25120035   5.9880357   -9.124398  ]
 [ -0.9317892    5.9875536  -10.30731   ]
 [  0.2511237    5.987065   -11.490299  ]
 [  1.4341133    5.9875474  -10.307386  ]
 [  0.2511847   -0.18735258  -9.121862  ]
 [ -0.93180525  -0.18783462 -10.304775  ]
 [  0.25110766  -0.18832351 -11.487765  ]
 [  1.4340979   -0.18784069 -10.304851  ]]",10.302360980479179,"35AAA5C0
0.707165 0.027417 0.706517 4.000000
0.002551 0.999142 -0.041327 2.833333
-0.707044 0.031027 0.706488 -1.999998
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,10,[-6.4792223   2.96474791 -4.85031366],[2.03476715 6.16781187 2.03476524],"[[291. 206.]
 [406. 206.]
 [406. 553.]
 [291. 553.]]","[[-6.4807353   6.052195   -3.4112172 ]
 [-7.919578    6.0516086  -4.849967  ]
 [-6.480828    6.051014   -6.2888107 ]
 [-5.041984    6.0516005  -4.850061  ]
 [-6.480751   -0.1156162  -3.4086852 ]
 [-7.919595   -0.11620267 -4.847435  ]
 [-6.480843   -0.11679715 -6.2862787 ]
 [-5.0420003  -0.1162103  -4.847529  ]]",8.093569312532683,"35AAA5C0
0.707165 0.027417 0.706517 4.000000
0.002551 0.999142 -0.041327 2.833333
-0.707044 0.031027 0.706488 -1.999998
0.000000 0.000000 0.000000 1.000000
"
3,Person,Person,9,[-7.46967268  2.82941747 -8.09228611],[2.10009289 5.5647912  2.10009336],"[[450. 274.]
 [525. 274.]
 [525. 505.]
 [450. 505.]]","[[-7.4680877   5.6152     -6.6083636 ]
 [-8.953126    5.6145935  -8.093306  ]
 [-7.4681835   5.6139803  -9.578343  ]
 [-5.983145    5.614586   -8.093401  ]
 [-7.468102    0.05040915 -6.6060786 ]
 [-8.953141    0.04980352 -8.091022  ]
 [-7.4681983   0.04919026 -9.576059  ]
 [-5.9831595   0.04979569 -8.091117  ]]",11.012770061602815,"35AAA5C0
0.707165 0.027417 0.706517 4.000000
0.002551 0.999142 -0.041327 2.833333
-0.707044 0.031027 0.706488 -1.999998
0.000000 0.000000 0.000000 1.000000
"
