,Class,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,Person,5,[-6.78364801  2.93664265 -3.46909451],[1.90818691 6.00561619 1.90818667],"[[  0.  40.]
 [186.  40.]
 [186. 628.]
 [  0. 628.]]","[[-7.7398014   5.9775186  -2.5065129 ]
 [-7.739842    5.978845   -4.414699  ]
 [-5.8316555   5.9768925  -4.414741  ]
 [-5.8316154   5.9755673  -2.5065544 ]
 [-7.745946   -0.02809299 -2.5106852 ]
 [-7.7459865  -0.02676714 -4.4188714 ]
 [-5.8378005  -0.02871955 -4.4189134 ]
 [-5.83776    -0.0300452  -2.5107272 ]]",7.619218931866775,"27069EE0
0.999240 -0.038992 0.000013 -1.000000
0.038991 0.999206 -0.008205 2.833333
0.000307 0.008200 0.999966 2.000000
0.000000 0.000000 0.000000 1.000000
"
1,Person,Person,6,[-3.15584135  2.80498219 -6.55363035],[1.76400113 5.81381893 1.76400137],"[[463. 185.]
 [572. 185.]
 [572. 545.]
 [463. 545.]]","[[-4.0506163   5.7479367  -5.6758623 ]
 [-4.0506535   5.749163   -7.439863  ]
 [-2.2866533   5.747358   -7.4399023 ]
 [-2.286616    5.7461324  -5.6759005 ]
 [-4.056565   -0.065878   -5.6799016 ]
 [-4.056602   -0.06465247 -7.4439025 ]
 [-2.2926018  -0.06645703 -7.4439416 ]
 [-2.2925646  -0.06768296 -5.6799397 ]]",7.273885166868989,"27069EE0
0.999240 -0.038992 0.000013 -1.000000
0.038991 0.999206 -0.008205 2.833333
0.000307 0.008200 0.999966 2.000000
0.000000 0.000000 0.000000 1.000000
"
2,Person,Person,1,[-8.410676    2.73390698 -6.57571888],[1.64654386 5.42846775 1.64654243],"[[140. 194.]
 [237. 194.]
 [237. 522.]
 [140. 522.]]","[[-9.248503    5.4812903  -5.746557  ]
 [-9.248538    5.4824347  -7.3930993 ]
 [-7.601995    5.48075    -7.3931355 ]
 [-7.6019597   5.4796057  -5.746593  ]
 [-9.254058    0.05282658 -5.750329  ]
 [-9.254092    0.05397076 -7.3968706 ]
 [-7.6075487   0.05228607 -7.3969064 ]
 [-7.6075144   0.05114188 -5.750365  ]]",10.676120531537176,"27069EE0
0.999240 -0.038992 0.000013 -1.000000
0.038991 0.999206 -0.008205 2.833333
0.000307 0.008200 0.999966 2.000000
0.000000 0.000000 0.000000 1.000000
"
3,Person,Person,3,[-6.40850019  2.92571068 -8.92745113],[2.32103515 5.72945786 2.32103586],"[[325. 215.]
 [437. 215.]
 [437. 491.]
 [325. 491.]]","[[ -7.561884     5.836712    -7.762459  ]
 [ -7.5619326    5.838324   -10.083494  ]
 [ -5.240899     5.835949   -10.083544  ]
 [ -5.24085      5.8343368   -7.76251   ]
 [ -7.5677466    0.10725845  -7.766439  ]
 [ -7.5677958    0.10887079 -10.087475  ]
 [ -5.246761     0.10649638 -10.087524  ]
 [ -5.246712     0.10488384  -7.76649   ]]",10.98946124651448,"27069EE0
0.999240 -0.038992 0.000013 -1.000000
0.038991 0.999206 -0.008205 2.833333
0.000307 0.008200 0.999966 2.000000
0.000000 0.000000 0.000000 1.000000
"
4,Person,Person,7,[-1.10704923  2.97352576 -9.40594482],[1.64057529 6.19091654 1.64057481],"[[611. 218.]
 [686. 218.]
 [686. 506.]
 [611. 506.]]","[[ -1.9298828    6.10235     -8.583466  ]
 [ -1.9299176    6.1034904  -10.22404   ]
 [ -0.28934297   6.101812   -10.224076  ]
 [ -0.2893083    6.100672    -8.583501  ]
 [ -1.9362172   -0.08856159  -8.587767  ]
 [ -1.936252    -0.08742172 -10.228342  ]
 [ -0.2956774   -0.08910015 -10.228377  ]
 [ -0.29564267  -0.09024003  -8.587803  ]]",9.470868810553725,"27069EE0
0.999240 -0.038992 0.000013 -1.000000
0.038991 0.999206 -0.008205 2.833333
0.000307 0.008200 0.999966 2.000000
0.000000 0.000000 0.000000 1.000000
"
